ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,alt_translation1,original_script
XV000036,dar,baˁqib naˁq alaw barqʼa žunal!,,,Put a bandage on your wounded hand!,,,e031e5fc8b2ef216bed87d30e1bccac1,SN000077,Ранненую руку обвяжи бинтом!,бяхъиб няхъ алав баркьа жунал!
XV000037,dar,azil lampučkːa alhaqun cab,,,Aunt's lightbulb lit up.,,,f8e76621965e532d874933afe3b151ea,SN000082,тетя лампочку зажигает,азил лампучкка алгьахъун цаб
XV000038,dar,Nišːišːud dirχu qːuʁate alħaˁnte.,,,There are pretty butterflies at our place (with us / where we live).,,,472821f77b3fed1da984ce92a2da73b1,SN000083,У нас бывают красивые бабочки.,Нишшишшуд дирху къугъате алхIянте.
XV000039,dar,alħaˁntalla qaˁb,,,bird's neck,,,65701195a6d1525100ab7fddbde3a997,SN000084,шея птицы,алхIянталла хъяб
XV000040,dar,Alħaˁn admi awirχu / erχu.,,,There is no flying human being.,,,,SN000085,Летающий человек не бывают.,АлхIян адми авирху / эрху.
XV000041,dar,Alħaˁt bar du serʁanda.,,,I (masculine) will come on Sunday.,,,90c24240747062340744bf6ea632fa12,SN000086,Воскресенье я приду.,АлхIят бар ду сергъанда.
XV000042,dar,Nišːala qujab aličala kːalkːi leb.,,,In our garden there is a plum tree.,,,44867126fcf53385271723ab417adfa3,SN000087,В нашем огороде есть слива.,Нишшала хъуяб аличала ккалкки леб.
XV000043,dar,Allahli dam kumek barqʼib.,,,Allah helped me.,,,a1ac6d1cba03a0db3d522fc51b2bb3d1,SN000088,Аллах мне помог.,Аллагьли дам кумек баркьиб.
XV000044,dar,jarapːi ja Allah,,,God forbid!,,,e066ccf372e4aa60e81e1b6fc4fd614e,SN000088 ; SN002618,дай Бог!,яраппи я Аллагь
XV000045,dar,Dam qʼarre čikabižible čibažibda Allahla qʼʷaˁl.,,,I saw a ladybug that was sitting on the grass.,,,158778331e89bc70909fd55ae4fdf838,SN000089,Я увидел сидящим на траве божью коровку.,Дам кьарре чикабижибле чибажибда Аллагьла кьвял.
XV000046,dar,hana dul dis altʼaqunda urculicːe,,,I stick a knife in a tree.,,,10908722ddf64b37984029cd65946881,SN000092,Я втыкаю нож в дерево.,гьана дул дис алтIахъунда урцулицце
XV000047,dar,Wataba du altʼij!,,,Stop pricking me!,,,c402b539b4ebe54ea9b75eec8a63d86c,SN000093,Оставь меня тыкать!,Ватаба ду алтIий!
XV000048,dar,Dul bumkːa birqʼulda alχni.,,,I am sharpening the saw.,,,72dbe9f0c3008c17dc112b8b98c293b0,SN000094,Я точу пилу.,Дул бумкка биркьулда алхни.
XV000049,dar,Dam bikːulda alžanalicːe wičij.,,,I (masculine) want to end up heaven.,,,4a94b19dc5a2f0209a4473a99db56ce3,SN000095,Я хочу попасть в рай.,Дам биккулда алжаналицце вичий.
XV000050,dar,Imam Šamilli cinna durħuˁ amanatlij wičːib ursijatla pačːaˁħli.,,,Imam Shamil gave his son to the Russian leader as a pledge (security).,,,ef419f6c071096a701a0c77fee9b836b,SN000096,Имам Шамиль залог отдал своего сына русскому правителю.,Имам Шамилли цинна дурхIё аманатлий виччиб урсиятла паччяхIли.
XV000051,dar,Aminatli bicːi tʼultʼ birqʼu.,,,Aminat makes tasty bread.,,,f386f6669547369978882bf8f1ef6098,SN000097,Аминат печет вкусный хлеб,Аминатли бицци тIултI биркьу.
XV000052,dar,Amma du awaxanda.,,,But I won't go.,,,c8bb1e9fc67610e718d7fd9ab43eba46,SN000099,Но я не пойду.,Амма ду авахьанда.
XV000053,dar,"Iticːe raš haʔib, ammaki it aagur.",,,"They invited her, but she did not go",,,c193da05eb4c93c9dc0a6bba9a8cdeb0,SN000100,"Ее пригласили, но она не пошла.","Итицце раш гьаиб, аммаки ит аагур"
XV000054,dar,Nišalla led qʼʷel amχa.,,,We have two donkeys.,,,d93bbf4059760c73496fa38acf90bc5a,SN000101,У нас есть два осла.,Нишалла лед кьвел амха.
XV000055,dar,Amχal dukːun cad mura.,,,A / the donkey eats hay.,,,b0b777655538cfde9e29395f1e8b7145,SN000101,Осёл кушает сено.,Амхал дуккун цад мура.
XV000056,dar,Dila kːurtːi amzul cab.,,,My dress is clean.,,,29cce52bcaf5882564cdcbb5f127dff0,SN000104,Мое платье чистое.,Дила ккуртти амзул цаб.
XV000057,dar,Amzu barqʼa!,,,Clean up!,,,b3f2e033eff30052ef7e7baecdc5c086,SN000104,почисти!,Aмзу баркьа!
XV000058,dar,Dam amzudex bičːaqid.,,,I like cleanness.,,,309bdf590f44ecd3aaa157da82c45d42,SN000105,Я люблю чистоту.,Дам амзудехь биччахъид.
XV000059,dar,Nišːala anqled dikʼu hincbe.,,,Apples grow in our garden.,,,cc86173a9e2c4be0191b7dc6fdcc3549,SN000111,У нас в саду растут яблоки.,Нишшала анхълед дикIу гьинцбе.
XV000060,dar,Dila antːa aqce cab.,,,My forehead is high.,,,59198d1d50b1c825d01d6adb83c1f9a8,SN000112,Мой лоб высокий.,Дила антта ахъце цаб.
XV000061,dar,Il apiracːijalij daqil arc diqːu.,,,They take a lot of money for this operation.,,,4680400d712bffdcdc13a506328bdec7,SN000115,Для этой операции много деньги берут.,Ил апирацциялий дахъил арц дикъу.
XV000062,dar,Itila hitːi ħaˁmidla ħuˁrmat aq birχul cab.,,,After that Hamid was more respected (lit. his respect rose).,,,a15de1714c2bd5c7aa7f51db543e0e34,SN000116,После этого у Гамида уважение прибавилась.,Итила гьитти хIямидла хIёрмат ахъ бирхул цаб.
XV000063,dar,Dul ganzaler kiniga aq barqʼibda.,,,I picked up the book from the ground.,,,9f2132cf52bd47b296b27c0d638a88a9,SN000118,Я с земли книгу поднял.,Дул ганзалер кинига ахъ баркьибда.
XV000064,dar,Qːarqːa aq birqʼul cab.,,,(She) lifts up a stone.,,,5a51b0be73d323a9530875b544050783,SN000119,(Она) камень поднимает.,Къаркъа ахъ биркьул цаб.
XV000065,dar,xːun aqanajler čiba baxan cab.,,,The road goes across the summit.,,,c03e28668a67ac8aa2efce28fa908951,SN000123,Дорога идет через вершину.,Хьхьун ахъанайлер чиба бахьан цаб.
XV000066,dar,Bazarred daqil aqbazante dirculde.,,,On the market many apricots were sold.,,,d853bb6b41c1eb8d809d3211379b1217,SN000124,На базаре много абрикосы продавались.,Базарред дахъил ахъбазанте дирцулде.
XV000067,dar,Nišːala duburte aqte cad.,,,Our mountains are high.,,,57e83b6118e7bb9b1bcfcdf2e60885de,SN000125,Наши горы высокие.,Нишшала дубурте ахъте цад.
XV000068,dar,Dul hež xun aqibda.,,,I went on this way.,,,c498bb3455f451c25c84dd9e8a648d44,SN000127,Я прошёл эту дорогу.,Дул гьеж хьун ахъибда.
XV000069,dar,"Urχːab aqle, hinna qːatːa guqle warqʼiblede.",,,The mill had been built higher than the river (i.e. too high to serve as water mill).,,,fb526f248ef2bc3bf9b2469fe947bfaa,SN000128 ; SN002065,Мельница выше чем река сделанная была.,"урххаб ахъле, гьинна къатта гухъле варкьибледе."
XV000070,dar,hana dila aqri bakːu mašin asːij,,,I don't have the opportunity to buy a car right now.,,,796773c3620b6799bea70e6fd8299423,SN000129 ; SN000365,Сейчас у меня возможностей нет машину купить,гьана дила ахъри бакку машин ассий
XV000071,dar,urcul aqterekle kːalkːicːer darq’ibda,,,I made firewood out of the poplar.,,,4bfa271b56f299e9a7dd0336ecb288a2,SN000130,Я приготовил дрова из топола.,урцул ахътерекла ккалккиццер даркьибда
XV000072,dar,Dila atːala macːalla aqʼ lebde.,,,My father had a flock of sheep.,,,331d4b82f1b9cfa32a0b598e7ce78fa1,SN000135,У моего отца была стада овец.,Дила аттала маццалла акь лебде.
XV000073,dar,qʼuˁlalla aqʼ,,,cow herd,,,420a129604ef086f932f12453d81ab8f,SN000135,стада коров,кьёлалла акь
XV000074,dar,qːuzralla aqʼ,,,goose herd,,,f7f5b1743015f46b999c1a3ff289bfee,SN000135,стада гусей,къузралла акь
XV000075,dar,žaqʼnalla aqʼ,,,boar herd,,,9f9d06062970c4242ec8128884fda24d,SN000135,стада кабанов,жакьналла акь
XV000076,dar,čːaˁʡaˁl ala aqʼanala arga cab.,,,Tomorrow it is your turn to be the herdsman.,,,3d59d9e978b592b8b336cadf6662513e,SN000136,Завтра твоя очередь пастуха.,ЧчягIял ала акьанала ярга цаб.
XV000077,dar,Ar deʁibqːel daxanda.,,,We will come at noon.,,,17519be983a4f9354718189cadb4f0ca,SN000143,Полдень пойдём.,Ар дегъибкъел дахьанда.
XV000078,dar,ar deʁijsat,,,until noon,,,e21ad93eb4f11fc1f2ff195d5d7577ef,SN000143,до полудня,ар дегъийсат
XV000079,dar,arilla hitːi,,,after lunch / afternoon,,,7f9a5b0557dbcb8dbf674d073a298ab6,SN000143,после обеда/полудня,арилла гьитти
XV000080,dar,Sːanžib aranžla icːala baqil χalqʼ bebčʼib,,,In Sanzhi many people died because of ... (illness).,,,94e2a77b47794f5a5909a4b8baacd3ad,SN000150,В Санжи от кори много людей умерло.,Ссанжиб аранжла иццалал бахъил халкь бебчIиб.
XV000081,dar,Dila arc kamle cad.,,,I have little money.,,,904e52eccee7eb57a29ce475106df0d8,SN000153,У меня мало денег.,Дила арц камле цад.
XV000082,dar,daqil arc,,,much money,,,954f4ab0482098d3be3b8e351ec48b1f,SN000153,много денег,дахъил арц
XV000083,dar,Itila arcli dam kumek barqʼib.,,,His money helped me.,,,94f0674479f8627969cf299b221d8c56,SN000153,Его деньги мне помогли.,Итила арцли дам кумек баркьиб.
XV000084,dar,Dam čibažibda arclan-qːaplan.,,,I saw a lion.,,,7cdde61ef0dc64ed7e4c8f4150fda5b2,SN000158,Я видел льва.,Дам чибажибда арцлан-къаплан.
XV000085,dar,Durħuˁ arcːi-qːelli qːačːa barcːib.,,,The boy found the calf by means of its traces.,,,62538522f6c7d30703c3d0f801c4d698,SN000159,Мальчик по следу теленка нашел.,ДурхIёл арцци-къелли къачча барччиб.
XV000086,dar,arcːi-qːel akːʷar,,,"without a trace, untraceable",,,752805e2bdaea97a00fd29458a2945f3,SN000159,бесследно,арцци-къел акквар
XV000087,dar,Qu arcʼil bicʼib cab.,,,The garden (field) is full of weed.,,,bb8279d91f34f62bf7e10ea144982654,SN000162,Огород полный сорняком.,Хъу арцIил бицIиб цаб.
XV000088,dar,arcʼi dircʼij,,,"clean, take out weed",,,1ce836df2235e2fd57fd0dded19c3eda,SN000162,убрать сорняк,арцIи дирцIий
XV000089,dar,Nišːala qujad dikʼu arcʼi ʁuˁbe.,,,Wild potatoes are growing in our garden.,,,1822c80229d7f72dd5096020bc1c31ad,SN000163,На нашем огороде растут ...,Нишшала хъуяд дикIу арцIи гъёбе.
XV000090,dar,Nikʼa durħuˁla naˁqlegub kam arcʼur cab.,,,The arm pit of the little boy got inflamed.,,,f40c490f5761d0b6262a201870877ece,SN000164,У маленького ребёнка под мишкой покраснело.,НикIа дурхIёла няхълегуб кам арцIур цаб.
XV000091,dar,Beretːala arga isan cab.,,,A handle for the hammer needs to be bought.,,,475ad5df2181f7f556ce99119320cbec,SN000166,Ручку топора надо купить.,Береттала арга исан цаб.
XV000092,dar,Arilla dukunda.,,,We had lunch. (lit. We were eating at lunch time.),,,eab80fc2041594aba55220e8fb072316,SN000168,Мы пообедали.,Арилла дукунда.
XV000093,dar,Arilla nušːal χinkʼe dukanda.,,,We will eat khinkal at lunch.,,,27053f7ed61b38b9ca7ef56a4a6162c2,SN000168,Обедом мы покушаем хинкал.,Арилла нушшал хинкIе дуканда.
XV000094,dar,arillali,,,for lunch,,,98451b3f6f5d22bc9e699576a6af46cb,SN000168,на обед,ариллали
XV000095,dar,Arilla dukanda.,,,We will have lunch.,,,e1c369510712fde762f7393319013c99,SN000168,Обед покушаем.,Арилла дуканда.
XV000096,dar,Arin χːulace cab il.,,,It's too big.,,,fc0d8bca11a763c00ec985afcbd5bb5d,SN000170,Этот слишком большой (есть).,Арин ххулаце цаб ил.
XV000097,dar,Arindan χʷalle makadiršːit!,,,Don't put too much!,,,3c72b7ab63d36e9da0595d11b3e2d589,SN000171,Слишком много не ставь!,Ариндан хвалле макадиршшит!
XV000098,dar,cajna arrah uqʼij bikːadi kurortle,,,At least once I would like to go to a Spa.,,,97f32e61478c0cbb26eaace45a70055f,SN000174,хоть один раз хотел бы в курорт поехать,цайна аррагь укьий биккади курортле
XV000099,dar,Ižal guna arʁ cab.,,,Today the weather is warm.,,,f48acde467768627075f40df74a4eab2,SN000175,Сегодня тёплая погода.,Ижал гуна аргъ цаб.
XV000100,dar,Arʁamči qːutqːala birχu.,,,This strap is from the jar.,,,bd86390249813b9b42512b727b2d2966,SN000176,Это веревка от кувшина.,Аргъамчи къуткъала бирху.
XV000101,dar,dul iticːe dars arʁaqibda,,,I explained him the lesson,,,7349632166594d90f9138f379963380c,SN000177,я ему урок объяснил,дул итицце дарс аргъахъибда
XV000102,dar,It arʁij qihinne cab.,,,This is difficult to understand.,,,2c03f2c445a8c887a43f3e25d7718150,SN000178,Это понять трудно.,Ит аргъий хъигьинне цаб.
XV000103,dar,Dam arʁibda ul haibil.,,,I understood what you said.,,,4024c2b994aea058e4b24dedfc3b2e25,SN000178,"Я понял, что ты сказал.",Дам аргъибда ул гьаъибил.
XV000104,dar,Dam bičːaqid arsːagla ʡaˁmi.,,,I like the arched window.,,,be3666509c4d3b9862f69a0c34858ea3,SN000179,Я люблю арочное окно.,Дам биччахъид арссагла гIями.
XV000105,dar,Aršːi bertːij zamana sabeʁib cab.,,,The time has come to mow the field.,,,d11c7762c77e8bd24069e60d226d851e,SN000180,Поле косить пришло время.,Аршши берттий замана сабегъиб цаб.
XV000106,dar,Aršːiqʼaˁla ʡaˁči qihince cab.,,,The work of a cutter is difficult.,,,4795957346a519e57119b4f100d1d658,SN000181,Работа косаря трудная.,Аршшикьяла гIячи хъигьинце цаб.
XV000107,dar,Dam bičːaqid aruš.,,,I love homebrew.,,,eabbfa1f837fd8bff1875c2803c3f342,SN000183,Я люблю аруш.,Дам биччахъид аруш.
XV000108,dar,dul ala dars arzibda,,,I solved your exercise.,,,70a46d72c27666e65737d2d8b5ee64af,SN000184,я твой пример решил.,дул ала дарс арзибда
XV000109,dar,Dul il qːulluqː aržaqanda.,,,I will accomplish this task.,,,a517a49969cb5d5b311120bcf5bc7a11,SN000185,Это дело я сделаю.,Дул ил къуллукъ аржахъанда.
XV000110,dar,Dam bikːulda qʼʷaˁl quja ažaqij.,,,I want to let the cow onto the field.,,,,SN000186,Это дело я сделаю.,Дам биккулда кьвял хъуя ажахъий.
XV000111,dar,Musa argulde qili.,,,Musa went home.,,,92cbfccdb79321f8a67eeee7004fc41d,SN000187,Муса шёл домой.,Муса аргулде хъили.
XV000112,dar,Hež abtabuz Maħaˁčqʼalale argan cab.,,,This bus goes to Makhachkala.,,,9190115319c93a28412e122a7ecab81e,SN000188,Этот автобус в Махачкалу едет.,Гьеж абтабуз МахIячкьалале арган цаб.
XV000113,dar,Calle ca čikabixar argu kʼʷel.,,,One plus one equals two.,,,,SN000189,Один плюс один равно два.,Цалле ца чикабихьар аргу кIвел.
XV000114,dar,Ižicːer ʡaˁħ mašluqʼ argu.,,,He will turn out to be a good wrestler.,,,a59507163393b63b2f70294c72774b72,SN000190,Из него хороший борец получится.,Ижиццер гIяхI машлукь аргу.
XV000115,dar,Ižicːer ʡaˁħ malla arži.,,,He would (have) turn(ed) out to be a good mullah.,,,dbb278efff9d59fbe18a4b8e42ae1c1a,SN000190,Из него получилось бы хороший мулла.,Ижиццер гIяхI малла аржи.
XV000116,dar,Dam wahil arži.,,,I felt bad. / I got bad.,,,a8a34925d74f0c97e0a0b7b7d124bfb4,SN000191,мне стало плохо.,Дам вагьил аржи.
XV000117,dar,Dul q'ʷaˁl aʁibda.,,,I chased a cow.,,,,SN000193,я корову погнал.,Дул кьвял агъибда
XV000118,dar,ʁuˁbe aʁlawled dercʼib.,,,(He) fried potatoes in a pan.,,,71aa159ea50a20eea7f553838d0b838b,SN000194,Пожарил картошку на сковородке.,Гъёбе агълавлед дерцIиб.
XV000119,dar,Qal aʁmuzan barqʼibda.,,,I built a house with four corners.,,,8c9e8775bbece5f331be799445a75903,SN000195,Я 4-уголный дом построил.,Хъал агъмузан баркьибда.
XV000120,dar,maˁlʡuˁnna aʁu,,,snake venom,,,d8a5f44675b8fc6f69c8ffd43bcb7fc3,SN000197,змеиный яд,мялгIённа агъу
XV000121,dar,Il qʼar aʁulla cab.,,,This plant is poisonous.,,,20f5d7704780645c19fe8fa1db5bcc58,SN000197 ; SN000202,Это растение ядовитое.,Ил кьар агъулла цаб.
XV000122,dar,Aʁu berkʷen!,,,Eat poison!,,,95a12c4beee3020ac2f09526cd7986a7,SN000197,Яд покушай!,Агъу берквен!
XV000123,dar,Du aʁubillicːe waxul.,,,I am in the fourth grade.,,,078143f2ec6b472a2e770b56c037241a,SN000198,Я иду в четвертый класс.,Ду агъубиллицце вахьул.
XV000124,dar,Dam aʁul ʁaj adalχad.,,,I don't know the Agul language.,,,463b3638eaabc53ce0c17e4e415e8890,SN000199,Я не знаю агульский язык.,Дам агъул гъай адалхад.
XV000125,dar,Zunrala aʁʷ darš macːala aqʼ teb.,,,The neighbor has a flock of 400 sheep.,,,ab987a220bfc4ca5e82935ee988820bd,SN000203,У соседа есть 400 овец.,Зунрала агъв дарш маццала акь теб.
XV000126,dar,Du aʁʷcʼal dus iχubleda.,,,I turned forty.,,,ffb709156e147179765c6458003f5fe7,SN000206,Мне исполнилось сорок лет.,Ду агъвцIал дус ихубледа.
XV000127,dar,Nušːal aʁʷcʼalla birqʼulda.,,,We had the forty days.,,,79f819bd72ac0021d7faaec8d522ca06 ; e9f69201534309d08dc0219177b5c358,SN000207,Мы сорокодневку делаем.,Нушшал агъвцIалла биркьулда.
XV000128,dar,Aʁʷcʼal dus ʡaˁči barqʼibda.,,,I worked 40 years.,,,ea2dd5c6ffbbc633e734627f69ad8b5e,SN000207 ; SN001896,40 лет я работал.,АгъвцIал дус гIячи баркьибда.
XV000129,dar,Du aʁzin awirχud / erχud.,,,I (masculine) am not lazy.,,,084c379633549caa7612e317c62f9ebe,SN000209 ; SN000210,Я не ленись.,Ду агъзин авирхуд / эрхуд.
XV000130,dar,určilla uzange aski diχub cad,,,The stirrup has grown old.,,,,SN000214 ; SN005193,Стремя постарели (износились).,урчилла узанге аски дихуб цад
XV000131,dar,Hana astʼalawajla musːa kafe cab.,,,Now there is a cafe instead of the buffet.,,,b8016427a8485fcb8035508f5c2a4fb7,SN000215,Сейчас в место столовой кафе.,Гьана астIалавайла муссаб кафе цаб.
XV000132,dar,Dam bikːulda asːij mašin.,,,I want to buy a car.,,,ef9c2027afc1027f6e04f42db4749ecd,SN000218,Я хочу купить машину.,Дам биккулда ассий машин.
XV000133,dar,Musal qal asːib.,,,Musa bought a house.,,,93a4517b0de005c40474935dc6036927,SN000218,Муса дом купил.,Мусал хъал ассиб.
XV000134,dar,Tʼultʼ asːa!,,,Buy bread!,,,0227315ab12513cde1637ca06d44c9af,SN000218,Купи хлеб!,тIултI асса!
XV000135,dar,Dešːa ašmugacːella baši xːunre.,,,In the old times the women dressed (lit. went) in a long scarf.,,,167df4c1d851757bab25ecd7fb12a846,SN000223,В старину женщины ходили в платке.,Дешша ашмугаццелла баши хьхьунре.
XV000136,dar,Dam ašrapi čibažibil akːu.,,,I did not see the golden coin.,,,1219d8acc7bd0b4c187c590a27e3d300,SN000225,Я не видел золотую монету.,Дам ашрапи чибажибил акку.
XV000137,dar,Dul at lukːanda čakar.,,,I give you sugar.,,,f45627c8478d3523a3b2502026a767d3,SN000227,Я тебе дам сахар.,Дул ат лукканда чакар.
XV000138,dar,Dila atːa ajarqʼaˁde.,,,My father was a hunter.,,,1237769e5a96029ca9d456db8734aef3,SN000232 ; SN001715,Мой отец был охотником.,Дила атта аяркьяде.
XV000139,dar,dul dis atʼaqunda urculicːe,,,I stuck a knife in a tree.,,,bba0705a8ed4317af7b57303c8be629a,SN000241,Я воткнул нож в дерево.,дул дис атIахъунда урцулицце
XV000140,dar,Dam bikːulda dis atʼij.,,,I want to pin the knife (into something). (e.g. by throwing it),,,0c6f6bfd63443409d0265d9304e25cbd,SN000242,Я хочу нож ткнуть.,Дам биккулда дис атIий.
XV000141,dar,Družba awadan musnab cab.,,,Druzhba (village name) is located in a spacious area.,,,0116e5a4f67c9e94d13433f84b7a23be,SN000244,Дружба находится на просторном месте.,Дружба авадан муснаб цаб
XV000142,dar,Awadanne karižibleda.,,,I (feminine) sit without problems (concerns),,,24eaa38acde04b5eae9f3363a1c44f62,SN000245,Сижу без проблем (забот).,Аваданне карижибледа.
XV000143,dar,awara akːʷarce,,,"indifferent, carefree",,,29b913409a71ec30aba9744f4c43c5eb,SN000249,"равнодушный, беззаботный",авара аккварце
XV000144,dar,Nišːila šːi qːuʁa awlaqleb cab.,,,Our village lies on a beautiful vast place.,,,804a6d9097a8a993831589609243add8,SN000252,Наше село находится на красивом просторном месте.,Нишшала шши къугъа авлахълеб цаб.
