ID,Language_ID,Headword,Part_Of_Speech,Comment,Cyrillic,Entry_IDs,Genitive_Form,Imperative_Form,Media_IDs,Morphology,Oblique_Form,Past_Tense,Plural_Form,PoS_Russian,Present_Tense,Variant_Form
LX000035,dar,akːʷi,cop,this is the past tense form of the negative copula (third person and also used as default variant for all other persons) (stem: b-akːʷ-) ; The verb appears as bare stem akːʷ- to which the indefinite question enclitic =el is added.,аккви,,,,b838d77597b8931e2d988558a9f379df,akːʷ-i,,,,связ,,
LX000036,dar,=al,prt,also used as complementizer and in main clauses that express doubts,=ал,,,,,,,,,част,,=jal; =el; =l
LX000037,dar,=al,deriv,used for the formation of indefinite pronouns from interrogative pronouns,=ал,,,,,,,,,дерив,,=jal; =el; =l
-al_3,dar,-al,num.suf,derivation of numerals,-ал,,,,,,,,,сущ. суф,,-jal
-ala,dar,-ala,deriv,nominalizing suffix for verbs,-ала,,,,,,,,,дерив,,-a
ala,dar,ala,pron,,ала,,,,911999facabe3b8ccd6f106710878b1f,u-la,,,,мест,,
alaw,dar,alaw,adv,No agreement marker,алав,,,,0761f205e3c2362298c68ba94b1e0c39,,,,,нареч,,
LX000038,dar,alaw barqʼij,v,,алав баркьий,,,alaw barqʼa!,64a3fb181cde5c429d46e425183e9f0e,alaw--b-arqʼ-ij,,alaw barqʼib,,гл,,
LX000039,dar,alaw birqʼij,v,,алав биркьий,,,,a4364d0cfa8b4ae0d2fa168efa08cab2,alaw--b-irqʼ-ij,,,,гл,alaw birqʼul,
LX000040,dar,alaw sabarqʼij,v,,алав сабаркьий,,,,8f3db720449883bfd2e10ac73ec807bc,alaw--sa-b-arqʼ-ij,,alaw sabarqʼib,,гл,,
alawle,dar,alawle,adv,,алавле,,,,2896c6cc6083ac69a1793c68f128edd2,alaw-le,,,,нареч,,
alawleb,dar,alawleb,adv,this is the essive form,алавлеб,,,,eb30a27490d1f5d9aa785a72cdc2892c,alaw-le-b,,,,нареч,,
alhaqij,dar,alhaqij,v,causative verb,алгьахъий,,,,e63b4155d27edeb6f27a68d2a39ab7a1,alh-aq-ij,,,,гл,alhaqun,
LX000041,dar,alħaˁn,n,this is the modal participle form of the verb 'fly',алхIян,,,,babc41fb03a90c5539640ad781511559,alħ-aˁn,,,alħaˁnte,сущ,,
LX000042,dar,alħaˁn,n,,алхIян,,,,babc41fb03a90c5539640ad781511559,alħ-aˁn,,,alħaˁnte,сущ,,
LX000043,dar,alħaˁn,v,modal participle of 'fly'; used to refer to everything that flies,алхIян,,,,babc41fb03a90c5539640ad781511559,alħ-aˁn,,,,гл,,
LX000044,dar,alħaˁt,n,"often with the word ""bar"" (day) after it",алхIят,,,,f7728e09377476caab592c5e7d0c9b9c,,,,,сущ,,
LX000045,dar,aliča,n,Russian loan,алича,,,,a297017da2bd15b659f7a392956e107a,,,,,сущ,,
Allah,dar,Allah,n,Arabic loan,Аллагь,,,,e6a429a7d8d15c43fb7bd24cf1c49aaf,,,,,сущ,,
LX000046,dar,Allahla qʼʷaˁl,n,lit. Allah's cow.,Аллагьла кьвял,,,,bd9274c9cbd493f6733113190eb9cd1c,Allah-la--qʼʷaˁl,,,Allahla qʼuˁle,сущ,,
-alle,dar,-alle,v.suf,realis conditional first person,-алле,,,,,,,,,гл. суф,,
almaz,dar,almaz,n,Russian loan,алмаз,,,,37cbc98e0bd706ebf9a48f67cb54b9c7,,,,almaze,сущ,,
LX000047,dar,altʼaqij,v,no agreement prefix ; causative verb,алтIахъий,,,,8e3e8221978a4e9f276a7d22bd4f25dc,altʼ-aq-ij,,,,гл,,
LX000048,dar,altʼij,v,No agreement marker ; forcefully; e.g. used together with čika-,алтIий,,,,1ad361041afa4cbe328d638f375ba502,altʼ-ij,,,,гл,altʼun,
LX000049,dar,alχni,n,,алхни,,,,43b8bf25a5d7c5e0858f9d8c9781c61e,,,,alχnupːe,сущ,,
LX000050,dar,alžana,n,"also: ""curballa alžana"".",алжана,,,,c50b602b15d3aa99afd7d606f38222bd,,,,alžante,сущ,,
amanat,dar,amanat,n,loan,аманат,,,,8b0b6b0257ad9fd4db3cb04351bf768d,,,,,сущ,,
Aminat,dar,Aminat,n,female name,Аминат,,,,e4b0c4419ac35c5d7c22ac847f079383,,,,,собств,,
Amir,dar,Amir,n,male name,Амир,,,,2ec523ece89a7a33c5a20fa583395419,,,,,собств,,
amma,dar,amma,conj,Arabic loan,амма,,,,e1543831192cee00e81eb3509bb08466,,,,,союз,,ammaki
ammaki,dar,ammaki,conj,Arabic loan,аммаки,amma,,,1e07b7c3f18f87d96e3dcf930a4c4c7b,,,,,союз,,
LX000051,dar,amχa,n,,амха,,,,15eee881b4bc18223975bedc3ad48933,,,,umχe,сущ,,
LX000052,dar,amχala tus,n,this is a type of mushroom; not eaten,амхала тус,,,,4e528711fb626ad21c79015d831fee70,amχa-la--tus,,,amaχala tusme,сущ,,
LX000053,dar,amχaruˁq,n,,амхарёхъ,,,,14302b386bbee121c54c66b6313153d7,amχa-r-uˁq,,,,сущ,,
amzuce,dar,amzuce,adj,no agreement prefix,амзуце,,,,2f3c16ee58c427606a14c425b6810062,amzu-ce,,,,прил,,
amzudex,dar,amzudex,n,,амзудехь,,,,6125d9795f8f5f8538902b190262e453,amzu-dex,,,,сущ,,
-an_1,dar,-an,v.suf,locative participle,-ан,,,,,,,,,гл. суф,,
-an_2,dar,-an,v.suf,realis conditional third person,-ан,,,,,,,,,гл. суф,,-anne
-an_3,dar,-an,v.suf,,-ан,,,,,,,,,гл. суф,,
-anaj,dar,-anaj,v.suf,,-анaй,,,,,,,,,гл. суф,,
LX000054,dar,-aˁne,v.suf,used only with the verbal root (-)uˁqʼ-,-яне,,,,,,,,,гл. суф,,
anq,dar,anq,n,,анхъ,,,,61af81eaa8b0d4fc4848380749de96af,,,,unqre,сущ,,
LX000055,dar,antːa,n,,антта,,,,f431c19eb73fadc464cc9ce6eecd586c,,,,antːurbe,сущ,,
LX000056,dar,apicːer,n,Russian loan,апиццер,,,,62f2c33baccf4a825ee76ac212307324,,,,apicːerte,сущ,,
LX000057,dar,apilkʼa,n,Russian loan,апилкIа,,,,e174be6dc538eb97a2afa2c5f9398cc8,,,,,сущ,,
LX000058,dar,apiracːija,n,Russian loan,апирацция,,,,7fd912887bbb899a92831d62a73b5ebc,,,,,сущ,,
aq,dar,aq,prev,No agreement prefix,ахъ,,,,9a2cc2d77a19800de9ada0d705732cee,,,,,прг,,
-aq,dar,-aq,v.suf,,-ахъ,,,,,,,,,гл. суф,,-aˁq
LX000059,dar,aq barqʼij,v,,ахъ баркьий,,,Aqbarqʼa!,2494015a1e45b5f0d1730c18c0601b54,aq--b-arqʼ-ij,,aqbarqʼib,,гл,,
LX000060,dar,aq birqʼij,v,,ахъ биркьий,,,,a31b5acd9db42ecc9fedc160f82a1594,aq--b-irqʼ-ij,,aqbirqʼib,,гл,aqbirqʼul,
LX000061,dar,aq biχʷij,v,the audio has the masculine singular form aq iχʷij,ахъ бихвий,,,,4340a1eb89c2d149908a043a678130a4,aq--b-iχʷ-ij,,aq biχub,,гл,,
LX000062,dar,aq habarqʼij,v,the audio has the masculine form aq hawarqʼij; transitive verb,ахъ гьабаркьий,,,,f1f08e962919dfc1aa39aafff64cef17,aq--ha-b-arqʼ-ij,,aq habarqʼib,,гл,,
LX000063,dar,aq habicːij,v,the audio has the masculine form aq hajcːij,ахъ гьабицций,,,,49f528e4e9f199a0cbc7551cfe1a754d,aq--ha-b-icː-ij,,aq habicːur,,гл,,
aqanaj,dar,aqanaj,n,probably a loan; can also be used as an insult for tall people,ахъанай,,,,4865701de9888fd41aae2efeba37315f,,,,aqanajte,сущ,,
aqbazan,dar,aqbazan,n,kind of big apricot; один из сортов,ахъбазан,,,,7713ed5311496695faa507b955207018,,,,aqbazante,сущ,,
aqce,dar,aqce,adj,No agreement prefix ; refers to size and loudness of sounds,ахъце,,,,0089a279e2ce817d90dd60da3e7ac9ee,aq-ce,,,,прил,,
aqdex,dar,aqdex,n,,ахъдехь,,,,b32883b3863b95b14566dd4e976aac98,aq-dex,,,,сущ,,
aqij,dar,aqij,v,"No agreement marker ; used for difficult things that one has to go through, like to survive",ахъий,,,,ae78b8a564f2f2a4aea4fdc7ca390878,aq-ij,,aqib,,гл,,
aqle,dar,aqle,adv,,ахъле,,,,0c5ef0faeed122b36fe94ab65edd3d65,aq-le,,,,нареч,,
aqri,dar,aqri,n,,ахъри,,,,f6d91a9db797ad1a9d5dc2b6df655bd0,,,,,сущ,,
aqterek,dar,aqterek,n,,ахътерек,,,,73209edb2e99500042cd9990da0a0852,,,,,сущ,,
LX000064,dar,Aqušːa,n,name of the largest North Dargwa village,ахъушша,,,,211e05d4bef9b86d96766a8c0b282961,,,,,сущ,,
LX000065,dar,aqušːan,n,,ахъушшан,,,,0dabc0ff2dbbc0e81f246f6f555a34fd,aqušːa-n,,,aqušːante,сущ,,
LX000066,dar,aqušːan,adj,,ахъушшан,,,,0dabc0ff2dbbc0e81f246f6f555a34fd,aqušːa-n,,,,прил,,
LX000067,dar,aqːi,n,"fireplace in a house, built into the wall",акъи,,,,d2c623d598426a2c9210fdfdfbe196d5,,,,aqme,сущ,,
LX000068,dar,aqʼ,n,"of sheep, cows, geese",акь,,,,2e6f8fbaaf4c289c9d3e008a21680012,,,,uqʼre,сущ,,
LX000069,dar,aqʼana,n,,акьана,,,,d1e7286e33fbb83c6f9f677e27431fae,aqʼ-ana,,,aqʼante,сущ,,
LX000070,dar,aqʼuce,adj,,акьуце,,,,789758c0697838a8e174209404b6d3a2,aqʼu-ce,,,,прил,,
LX000071,dar,aqʼudex,n,freedom (of work),акьудехь,,,,d9d5e58e3f446f2addc5182a18380d1b,aqʼu-dex,,,,сущ,,
LX000072,dar,aqʼul,adv,,акьул,,,,916174435be4af0040e30d40beb57ce3,aqʼu-l,,,,нареч,,
-ar_1,dar,-ar,v.suf,,-ар,,,,,,,,,гл. суф,,
-ar_2,dar,-ar,v.suf,third person conditional suffix,-ар,,,,,,,,,гл. суф,,-arre
-ar_3,dar,-ar,v.suf,see akːʷar,-ар,,,,,,,,,гл. суф,,
ar,dar,ar,n,,ар,,,,118ec298f8bd8231aa8b2a54fe2f1477,,,,,сущ,,
LX000073,dar,ar deʁij,adv,"syntactically, this is the infinitive of a complex verb",ар дегъий,,,,d3c1edf3986eb44bcdd20b83786bc6f3,ar--d-eʁ-ij,,,,нареч,,
LX000074,dar,ara biχʷij,v,the audio has the masculine singular form ara iχʷij,ара бихвий,,,,8a37c60f45774ca791687f3c762ec167,ara--b-iχʷ-ij,,ara biχub,,гл,,
arace,dar,arace,adj,,араце,,,,e9ca50e9fbac6df75724957904e8663c,ara-ce,,,arate,прил,,
aradex,dar,aradex,n,,арадехь,,,,bd018ec5b1b1e5b8eb219de95dc3324f,ara-dex,,,,сущ,,
-araj,dar,-araj,v.suf,,-арай,,,,,,,,,гл. суф,,
LX000075,dar,aralχan,n,this is the female form; the masculine is awalχan / aːlχan,аралхан,,,,65d4a3a076a3126344c594d2b73986b7,a-r-alχ-an,,,abalχante,сущ,,
LX000076,dar,aranž,n,,аранж,,,,f17aa11d40fbbd409cc60ebac07f21ec,,,,aranžbe,сущ,,
LX000077,dar,araˁrqːurce,adj,this is the female form; the masculine form is awaˁrqːurce / aːrqːurce,аряркъурце,,,,3d5e903badffdda32b8e1d8d97588421,a-r-aˁrqː-ur-ce,,,abaˁrqːurte,прил,,
LX000078,dar,arbaˁʡ,n,"often with the word ""bar"" (day) after it; Arabic loan",арбягI,,,,918e3dec7eb0e2ca9e62db86a263b527,,,,,сущ,,
arc,dar,arc,n,control neuter plural agreement (d marker),арц,,,,393afe1074e759940dfaa3bcfd6f5cc9,,,,,сущ ; сущ,,
LX000079,dar,arc bičːij,v,,арц биччий,,,,caf39643347b9669a87c2d1e2d608f94,arc--b-ikː-ij,,arc bičːib,,гл,,
LX000080,dar,arc darqʼij,v,,арц даркьий,,,,166ca596f9fc63485f4f40afe858c729,arc--d-arqʼ-ij,,arc darqʼib,,гл,,
LX000081,dar,arc lukːij,v,,арц луккий,,,,00c5ae369ac6af69c10ab812020585e6,arc--lukː-ij,,,,гл,arc lukːun,
LX000082,dar,arclan-qːaplan,n,,арцлан-къаплан,,,,8682d40199cf6924f22100704cd7767d,arclan--qːaplan,,,arclan-qːaplante,сущ,,aslan qːaplan
LX000083,dar,arcːi,n,controls neuter plural agreement (d); no plural suffix can be added,арцци,,,,b5bc4228892f1008b3870dcc2649c6d8,,,,,сущ,,
LX000084,dar,arcːi birqʼij,v,,арцци биркьий,,,,2ff7240c2a2f44de4a8b70965302ccea,arcːi--b-irqʼ-ij,,,,гл,arcːi birqʼul,
LX000085,dar,arcːi čibarqʼij,v,,арцци чибаркьий,,,,57ccec0c0b3ef9df18fa10577355381e,arcːi--či-b-arqʼ-ij,,arcːi čibarqʼib,,гл,,
LX000086,dar,arcʼi,n,controlls neuter plural agreement (d); no plural suffix can be added ; weed grows around the village of Sanzhi,арцIи,,,,f6331f2a8218fb853a1d6bbec6c59e0e,,,,,сущ,,
LX000087,dar,arcʼi ʁuˁb,n,"kind of small wild potato, edible; lit.: weed potato",арцIи гъюб,,,,c366880c898667d9efbec1876ce0ac05,arcʼi--ʁuˁb,,,arcʼi ʁuˁbe,сущ,,
LX000088,dar,arcʼur,v,"No agreement marker ; preterite participle of the verb arcʼ- 'get red, inflame', but the verb has only very few forms; this form is the most common one",арцIур,,,,59b276be5a4b08342429dad68098d440,arcʼ-ur,,,,гл,,
-ardel,dar,-ardel,v.suf,,-ардел,,,,,,,,,гл. суф,,
arga,dar,arga,n,"of instruments such as axe, shovel, spade",арга,,,,c4342872eedbfb48339a59c46fbbe8e5,,,,argne,сущ,,
ari,dar,ari,n,the part of the day when the sun is shining,ари,,,,,,,,arme,сущ,,
arilla,dar,arilla,adv,this seems to be the genitive case form of ar ('midday') + -il (participle-like suffix); the ergative can be added (see below); it might perhaps be a nominal ; this is adverb to which the ergative has been added,арилла,,,,d1e1c1ae9bb48f8b9c60f6a12efb9cd7,ari-la,,,,нареч,,
LX000089,dar,arilla hitːi,adv,postpositional phrase used as temporal adverbial,арилла гьитти,,,,35eef6f4c30042bd3d371ccb5952e774,ari-la--hitːi,,,,нареч,,
arin,dar,arin,adv,,арин,,,,0a59df39942d365c113716e3a89d5e37,,,,,нареч,,
arindan,dar,arindan,adv,,ариндан,,,,90d067b6a470649e590915e679a22192,arin-dan,,,,нареч,,
LX000090,dar,arinž,n,,аринж,,,,663366d157575496598341c977dc391c,,,,,сущ,,
ark,dar,ark,n,,арк,,,,698921d7b5d3e465f700195bcf3cb6a0,,,,arkme,сущ,,
arrah,dar,arrah,adv,,аррагь,,,,96360e56407e633bea320cb9ec581e16,,,,,нареч,,
LX000091,dar,arʁ,n,,аргъ,,,,a0f99f2c53c2763fedfd9e93d9eab0da,,,,,сущ,,
LX000092,dar,arʁamči,n,"a strap for water jars, to carry them on the back",аргъамч,,,,3247d5cea35273bb3659174a90eedcbe,,,,arʁamčne,сущ,,
LX000093,dar,arʁaqij,v,"causative verb; the recipient/experiencer takes the -cːe case suffix, NOT the dative (in contrast to the simple verb); e.g. explain the lesson (but not 'explain the way'); it has something to do with a cognitive activity (NOT something like show / explain the way)",аргъахъий,,,,c064869bc2f1b243ce0d787ee3e93121,arʁ-aq-ij,,,,гл,,
LX000094,dar,arʁij,v,No agreement marker,аргъий,,,Arʁa!,0ca750bcb7ea2f446965843af19c7dc1,arʁ-ij,,arʁib,,гл,,
LX000095,dar,arsːag,n,,арссаг,,,,13363fffc0b2b61464257d1e05451b02,,,,arsːage,сущ,,
LX000096,dar,aršːi,n,sown field (with ripe crops),аршши,,,,8f9056afd585d8877127749f4e7db824,,,,iršːurbe,сущ,,
LX000097,dar,aršːiqʼaˁ,n,person who cuts wheat or grass with a sickle and then collects it,аршшикья,,,,1e6fba44ae294b60e5f6234bde920df6,aršːi-qʼaˁ,,,aršːiqʼne,сущ,,
-arte,dar,-arte,v.suf,,-артe,,,,,,,,,гл. суф,,
LX000098,dar,aruš,n,alcoholic drink made of toasted flour,аруш,,,,8bdaf5708fa240e8696701825885b91d,,,,,сущ,,
arzij,dar,arzij,v,solve a task,арзий,,,,b46bfc3aa2e211b440ba55ba95f28292,arz-ij,,arzib,,гл,,
LX000099,dar,aržaqij,v,"No agreement marker; causative of the verb aržij (arg-) 'go' ; causative of ""aržij""",аржахъий,,,,2e93ce9a1b7df149ad4cb079929bb492,arg-aq-ij,,,,гл ; гл,aržaqul,
LX000100,dar,aržij,v,"No gender agreement marker ; ""equals"" in the mathematical sense of an equation",аржий,,,,6a41ed77b383ffb94ecceabeabe5f9ca,arg-ij,,argur,,гл ; гл ; гл ; гл ; гл,argul,
LX000101,dar,aʁij,v,"No agreement prefix! Verb only appears with preverbs; if used without it has the meaning 'chase', see below",агъий,,,,,aʁ-ij,,aʁib,,гл ; гл,,
LX000102,dar,aʁlaw,n,,агълав,,,,3745cf31c3826053c9a27b0dbe14415b,,,,aʁlawte,сущ,,
LX000103,dar,aʁmuzan,n,lit.: four-corner,агъмузан,,,,007ed3f63ab9e70479fcb0c51153bfbd,aʁʷ-muza-an,,,aʁmuzante,сущ,,
LX000104,dar,aʁmuzance,adj,,агъмузанце,,,,cfc9abb1261a07b13ca585a79f113c69,aʁʷ-muza-n-ce,,,aʁmuzante,прил,,
LX000105,dar,aʁu,n,,агъу,,,,874f9e466eac329f0801ef73549e6f2c,,,,,сущ,,
LX000106,dar,aʁubil,adj,,агъубил,,,,f95b0a32836d6a69f49fadf3f5e11cb1,aʁʷ-ub-il,,,,прил,,
